file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00076_0066_255344_to_256879,ང་ཚོ་རྗེས་སུ་འཛིན་པར་ཞུ།  ,nga tsho rjes su 'dzin par zhu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0066_255344_to_256879.wav,STT_AB,3,26,1.535,wav16k/STT_AB00076_0066_255344_to_256879.wav,ང་ཚོ་རྗེས་སུ་འཛིན་པར་ཞུ།
STT_AB00076_0063_247665_to_250652,ངས་བྱ་བ་བཟང་པོ་དེ་ལ་བར་ཆོད་བྱེད་མི་རུང་།  ,ngas bya ba bzang po de la bar chod byed mi rung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0063_247665_to_250652.wav,STT_AB,3,42,2.987,wav16k/STT_AB00076_0063_247665_to_250652.wav,ངས་བྱ་བ་བཟང་པོ་དེ་ལ་བར་ཆོད་བྱེད་མི་རུང་།
STT_AB00076_0065_252930_to_254854,སྐྱེས་པ་ནས་ཚེ་རབས་ཐམས་ཅད་དུ་ ,skyes pa nas tshe rabs thams cad du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0065_252930_to_254854.wav,STT_AB,3,29,1.924,wav16k/STT_AB00076_0065_252930_to_254854.wav,སྐྱེས་པ་ནས་ཚེ་རབས་ཐམས་ཅད་དུ་
STT_NS_M0408_0100_647043_to_652237,གཏུབ་ཡ་གི་ཨེ་ག་ལབ་དགོས་རེད། འཕྲུལ་ཆས་དེ་ཉོས་ཚར་རཱ། ད་དེ་མཉམ་དུ་ལ་ད་ཐུག་པ་སྐམ་ཡ་གི་ ,gtub ya gi e ga lab dgos red/_'phrul chas de nyos tshar rA/_da de mnyam du la da thug pa skam ya gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0408_0100_647043_to_652237.wav,STT_NS,3,83,5.194,wav16k/STT_NS_M0408_0100_647043_to_652237.wav,གཏུབ་ཡ་གི་ག་ལབ་དགོས་རེད། འཕྲུལ་ཆས་དེ་ཉོས་ཚར་རཱ། ད་འདི་མཉམ་དུ་ལ་ད་ཐུག་པ་སྐམ་ཡ་གི་
STT_PC0004_0180_1133316_to_1138733,འདི་ད་ནོར་བུ་གླིང་བུ་ཀ་ནང་ལ་བཞུགས་མྱི་རེད་བ། ཡིན་ད་ཡིན། ངའི་ཇོ་ལགས་གྲགས་ལྡན་ལགས་ཏེ།  ,'di da nor bu gling bu ka nang la bzhugs myi red ba/_yin da yin/_nga'i jo lags grags ldan lags te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0004_0180_1133316_to_1138733.wav,STT_PC,3,85,5.417,wav16k/STT_PC0004_0180_1133316_to_1138733.wav,འདི་ད་ནོར་བུ་གླིང་ཁ་ནང་ལ་བཞུགས་མྱི་རེད་བ། ཡིན་དང་ཡིན། ངའི་ཇོ་ལགས་གྲགས་ཆན་ལགས་དེ།
STT_AB00273_0222_1111424_to_1114684,དགེ་བའི་བཤེས་གཉེན་ཐག་མ་པའི་བུ་ཆེན།  ,dge ba'i bshes gnyen thag ma pa'i bu chen/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00273_0222_1111424_to_1114684.wav,STT_AB,3,36,3.26,wav16k/STT_AB00273_0222_1111424_to_1114684.wav,དགེ་བའི་བཤེས་གཉེན་ཐ་མལ་པའི་བུ་ཆེན།
STT_NS_M0294_0079_614369_to_617759,ཨ་ལས་ཀ་སྐོར་ར་འདྲ་བོ་བརྒྱབ། ད་ཁ་ལག་འདྲ་བོ་བཟོ་ཡ་འདྲ་བོ་གལ་ཆེ་བ་འདྲ་བོར་འགྲོ་དགོས་རཱ།  ,a las ka skor ra 'dra bo brgyab/_da kha lag 'dra bo bzo ya 'dra bo gal che ba 'dra bor 'gro dgos rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0294_0079_614369_to_617759.wav,STT_NS,3,86,3.39,wav16k/STT_NS_M0294_0079_614369_to_617759.wav,ཨལས་ཀ་སྐོར་ར་འདྲ་བོ་རྒྱགཡ། ད་ཁ་ལག་འདྲ་བོ་བཟོ་ཡ་འདྲ་བོ་གལ་ཆེ་བ་འདྲ་བོ་འགྲོ་གི་ཡོད་རཱ།
STT_AB00200_0151_557244_to_558284,སྟབས་མ་ལེགས་པ་ཞིག་ལ་ ,stabs ma legs pa zhig la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00200_0151_557244_to_558284.wav,STT_AB,3,21,1.04,wav16k/STT_AB00200_0151_557244_to_558284.wav,སྟབས་མ་ལེགས་པ་ཞིག་ལ་
STT_TT00320_472.050-472.600,མི་ཚེའི་ནང་ལ་ཡ།  ,mi tshe'i nang la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00320_472.050-472.600.wav,STT_TT,3,17,0.5500000000000114,wav16k/STT_TT00320_472.050-472.600.wav,དཔེ་ཆའི་ནང་ལ་ཡ།
STT_PC0004_0335_2267147_to_2269206,བསམ་བློ་འཁོར་བྱུང་། རེད་རེད་ཨ་ཆག་སྒོ།  ,bsam blo 'khor byung /_red red a chag sgo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0004_0335_2267147_to_2269206.wav,STT_PC,3,39,2.059,wav16k/STT_PC0004_0335_2267147_to_2269206.wav,བསམ་བློ་འཁོར་བྱས། རེད་རེད་ཨ་ཆག་སྒོ།
